,Word,Frequency
0,pasta,11
1,time,6
2,which,3
3,one,4
4,would,1
5,you,19
6,pick,1
7,by,12
8,@foodnsunshine,1
9,1brown,1
10,rice,12
11,sautéed,2
12,zoodles,1
13,tomatoes,4
14,in,43
15,olive,2
16,oil,4
17,salt,6
18,pepper,8
19,garlic,7
20,once,2
21,veggies,2
22,and,72
23,noodles,1
24,are,3
25,cooked,7
26,toss,1
27,all,9
28,together,5
29,with,39
30,a,38
31,splash,2
32,of,32
33,bone,1
34,or,12
35,veggie,1
36,broth,1
37,butter,8
38,smoked,1
39,paprika,1
40,crushed,3
41,red,3
42,flakes,3
43,parsley,1
44,parmesan,1
45,cheese,1
46,234,1
47,cup,10
48,measured,1
49,before,1
50,cooking,1
51,i,6
52,used,1
53,brown,2
54,shells,1
55,cook,5
56,then,8
57,set,3
58,aside,4
59,heat,10
60,1,18
61,tbs,3
62,12,3
63,tsp,3
64,minced,1
65,on,32
66,medium,3
67,add,14
68,2,7
69,sundried,1
70,packed,1
71,spinach,2
72,turn,2
73,off,1
74,will,3
75,wilt,1
76,from,10
77,everything,1
78,else,2
79,sprinkle,4
80,about,5
81,1tbs,1
82,parm,4
83,top,7
84,optional,2
85,extra,1
86,3lemon,1
87,broccoli,3
88,to,48
89,pot,1
90,mix,4
91,trader,1
92,joes,1
93,umami,1
94,seasoning,2
95,squeeze,1
96,lemon,2
97,pre,1
98,4,9
99,gluten,1
100,free,2
101,linguine,1
102,tossed,2
103,vegan,2
104,pesto,2
105,roasted,2
106,halved,1
107,cherry,1
108,italian,1
109,at,9
110,425,1
111,for,36
112,15,1
113,minutes,4
114,5cook,1
115,reserve,1
116,some,4
117,water,3
118,drain,1
119,the,72
120,milk,5
121,into,2
122,pan,7
123,sauce,6
124,thickens,1
125,sun,1
126,dried,1
127,tomato,1
128,stir,6
129,#foodporn,8
130,#veggie,1
131,#foodstagram,3
132,#foodblogger,7
133,#foodpic,1
134,#foodlover,7
135,#foodprep,1
136,#foodlovers,1
137,#foodgram,6
138,#foodlove,1
139,#foodheaven,1
140,#foodshare,1
141,#foodaddict,1
142,#foodoftheday,1
143,#foodinspiration,1
144,#healthyfood,2
145,go,4
146,follow,16
147,@daveymaher_fitness,1
148,he,2
149,works,1
150,specifically,1
151,clients,1
152,who,5
153,have,6
154,hormonal,1
155,metabolism,1
156,issues,1
157,help,4
158,them,3
159,get,5
160,shape,2
161,dm,2
162,him,1
163,hormones,1
164,slowroasted,1
165,cajun,1
166,salmon,1
167,orzo,1
168,salad,1
169,simple,1
170,easy,2
171,healthy,2
172,delicious,2
173,backpocket,1
174,dinner,1
175,@primal_gourmet,1
176,love,3
177,this,15
178,idea,1
179,substitute,1
180,ingredients,8
181,fit,1
182,your,12
183,needs,2
184,creative,2
185,use,1
186,options,2
187,@le_miericette,1
188,#mealprepdaily,1
189,#mealpreprecipes,1
190,#mealprepmadeeasy,1
191,#healthycooking,1
192,#eatsmart,1
193,#mealpreps,1
194,#mealprepideas,2
195,#mealprep,1
196,@bodysmartfitness,11
197,best,5
198,nutrition,6
199,mindset,4
200,fitness,6
201,tips,5
202,weekday,1
203,mealprep,1
204,chicken,7
205,teriyaki,1
206,stirfry,1
207,@buzzfeedtasty,1
208,servings,1
209,3,6
210,breasts,1
211,cubed,1
212,taste,5
213,teaspoon,1
214,½,2
215,soy,3
216,118,1
217,ml,1
218,⅓,1
219,honey,2
220,113,1
221,g,2
222,tablespoons,1
223,sesame,3
224,seed,1
225,more,6
226,garnish,1
227,onion,3
228,sliced,4
229,small,1
230,bell,1
231,peppers,1
232,thinly,2
233,cups,2
234,500,1
235,green,2
236,white,2
237,preparation,1
238,cut,1
239,over,3
240,mediumhigh,1
241,until,6
242,almost,2
243,done,1
244,reduce,1
245,tablespoon,2
246,seeds,2
247,thickened,1
248,remove,3
249,leaving,1
250,vegetables,3
251,cover,2
252,several,1
253,begin,1
254,soften,1
255,lid,2
256,is,20
257,thick,3
258,again,2
259,split,1
260,evenly,1
261,between,1
262,containers,1
263,refrigerate,2
264,up,5
265,days,1
266,enjoy,2
267,#meals,1
268,#meal,1
269,#mealprepping,1
270,#mealprepsunday,1
271,vietnamese,1
272,pizza,3
273,super,1
274,quick,2
275,meal,2
276,can,8
277,whip,2
278,yes,1
279,it,14
280,was,5
281,bussin,1
282,essentially,1
283,uses,1
284,paper,3
285,instead,1
286,dough,1
287,as,3
288,base,1
289,@viviannecafe,1
290,whatever,1
291,youd,1
292,like,5
293,literally,1
294,anyone,3
295,make,7
296,so,5
297,impress,1
298,someone,1
299,rn,1
300,said,1
301,cant,1
302,egg,2
303,mushrooms,2
304,spring,2
305,onions,2
306,kewpie,1
307,mayo,2
308,sriracha,2
309,method,1
310,place,1
311,low,2
312,fold,1
313,serve,1
314,#vietnamesepizza,1
315,#vietnamesefood,1
316,#easyrecipes,1
317,#easycooking,1
318,#healthyrecipes,1
319,#healthylifestyle,1
320,#cooking,2
321,#recipes,1
322,#sriracha,1
323,#mayo,1
324,#pancake,1
325,#pizza,1
326,if,4
327,youre,2
328,serious,1
329,improving,1
330,health,3
331,these,1
332,stick,1
333,basics,1
334,consistency,2
335,lack,1
336,why,1
337,people,4
338,dont,2
339,achieve,3
340,their,4
341,goals,2
342,advocate,1
343,getting,1
344,better,3
345,every,3
346,day,1
347,youll,2
348,be,5
349,37,1
350,times,2
351,course,1
352,year,2
353,ask,1
354,yourself,3
355,what,4
356,least,2
357,commit,2
358,when,3
359,comes,2
360,action,1
361,steps,1
362,habit,1
363,building,1
364,takes,1
365,win,1
366,do,1
367,build,1
368,there,1
369,its,7
370,head,2
371,likely,1
372,consistent,1
373,give,1
374,not,4
375,6week,1
376,shred,1
377,12week,1
378,transformation,1
379,but,1
380,longer,1
381,period,1
382,patience,1
383,back,1
384,fads,3
385,drinking,1
386,herbalife,1
387,shakes,1
388,forever,2
389,sustainable,1
390,theres,1
391,another,1
392,way,2
393,deep,3
394,fix,1
395,fad,1
396,leave,1
397,depleted,1
398,energy,3
399,broke,1
400,learn,2
401,balance,4
402,calorie,3
403,deficit,3
404,diets,1
405,put,1
406,understand,1
407,science,1
408,fat,2
409,loss,2
410,dedicated,1
411,helping,1
412,million,1
413,#bebodysmart,1
414,they,2
415,#cutthebs,1
416,facts,1
417,final,1
418,#quote,1
419,#motivationalquote,1
420,#motivation,1
421,#iifym,1
422,#herbalife,1
423,#weightwatchers,1
424,#weightlossmotivation,1
425,#fatlossmotivation,1
426,#goals,1
427,#health,1
428,#fitness,1
429,#weightlossjourney,1
430,#weightlosstransformation,1
431,#fat2fit,1
432,#fatloss,1
433,#diet,1
434,#dieting,1
435,@vickyyee1,1
436,she,1
437,helps,1
438,busy,1
439,professionals,1
440,optimise,1
441,lifestyle,1
442,around,1
443,career,1
444,eat,2
445,pass,2
446,new,3
447,glutenfree,2
448,oatmeal,1
449,raisin,1
450,breakfast,3
451,baskets,2
452,yummy,4
453,fillings,1
454,plain,1
455,throughout,1
456,week,1
457,filling,1
458,toppings,1
459,daymade,1
460,@healthymoodsf,1
461,my,18
462,favorite,3
463,peanut,2
464,jelly,3
465,bananas,6
466,cream,3
467,coconut,3
468,gf,1
469,rolled,1
470,oats,3
471,cinnamon,1
472,maple,2
473,syrup,5
474,vanilla,4
475,extract,4
476,pinch,1
477,raisins,2
478,directions,1
479,preheat,1
480,oven,1
481,350f,1
482,mash,1
483,cinammon,1
484,well,2
485,batter,7
486,5,2
487,using,2
488,fill,2
489,muffin,1
490,press,1
491,down,1
492,fingers,1
493,basket,2
494,6,3
495,bake,2
496,1517,1
497,7,1
498,let,1
499,cool,1
500,yogurt,2
501,mashed,1
502,microwaved,1
503,raspberries,1
504,blueberries,1
505,feel,1
506,here,2
507,#oats,1
508,#oatmeal,1
509,#breakfast,3
510,#breakfastideas,1
511,@coach_brandonkress,1
512,taking,1
513,complexity,1
514,out,2
515,lasting,1
516,results,1
517,without,2
518,nonsense,1
519,good,2
520,soul,1
521,@anamazingappetite,1
522,#soup,1
523,#healthy,1
524,#yummy,1
525,knows,1
526,credit,1
527,@foodyfetish,1
528,us,2
529,@healthyfoodyss,1
530,rights,1
531,reserved,1
532,respective,1
533,owners,1
534,#foodie,6
535,#foodphotography,1
536,#kitchen,1
537,#drinks,1
538,#drink,1
539,baking,2
540,distraction,1
541,flourless,1
542,bread,1
543,perfect,4
544,weekend,2
545,requires,1
546,no,3
547,eggs,1
548,protein,1
549,powder,5
550,beans,2
551,guarantee,1
552,just,3
553,sitting,1
554,pantry,1
555,waiting,1
556,bakedby,1
557,@lilsipper,1
558,dry,2
559,34,1
